YEAR	1stMostPlay	1stMP_Ct	2ndMostPlay	2ndMP_Ct	3rdMostPlay	3rdMP_Ct	4thMostPlay	4thMP_Ct	5thMostPlay	5thMP_Ct	6thMostPlay	6thMP_Ct	7thMostPlay	7thMP_Ct	8thMostPlay	8thMP_Ct	9thMostPlay	9thMP_Ct
1990	Once	2	Even Flow	2	Release	2	Breath	2	Alone	2	Alive	2	Why Go	1	Porch	1	Black	1
1991	Alive	62	Porch	61	Even Flow	58	Once	53	Why Go	52	Jeremy	41	Wash	30	Deep	23	Black	23
1992	Alive	107	Porch	103	Even Flow	100	Jeremy	96	Why Go	93	Deep	88	Black	82	Once	75	State of Love and Trust	66
1993	Even Flow	53	Animal	52	Jeremy	52	Porch	51	Alive	51	Why Go	51	Daughter	50	Go	48	Glorified G	45
1994	Daughter	28	Rearviewmirror	26	Animal	25	Go	25	Black	23	Even Flow	23	Glorified G	23	Alive	23	Blood	23
1995	Last Exit	40	Corduroy	40	Go	38	Daughter	37	Not for You	37	Spin the Black Circle	37	Rearviewmirror	37	Animal	36	Tremor Christ	36
1996	Corduroy	33	Hail Hail	33	Even Flow	32	Alive	32	Daughter	32	Animal	31	Rearviewmirror	30	Jeremy	30	Better Man	29
1997	Hail Hail	5	Do the Evolution	5	Corduroy	5	Even Flow	5	Better Man	4	Animal	4	Alive	4	Dissident	4	Given to Fly	3
1998	Wishlist	66	Do the Evolution	65	Given to Fly	65	Corduroy	65	Brain of J.	63	Hail Hail	63	Even Flow	62	Daughter	60	Alive	58
1999	Last Kiss	2	Wishlist	2	Nothing as It Seems	1	Yellow Ledbetter	1	Daughter	1	Soldier of Love	1	Thin Air	1	Better Man	1	Elderly Woman Behind the Counter in a Small Town	1
2000	Corduroy	74	Better Man	70	Even Flow	69	Insignificance	67	Do the Evolution	64	Given to Fly	62	Animal	62	Rearviewmirror	62	Grievance	58
2001	Gimme Some Truth	5	Last Soldier	3	I Am Mine	3	Better Man	2	Long Road	2	Indifference	2	The Kids Are Alright	2	Driftin'	2	Nothing as It Seems	2
2002	I Am Mine	6	Save You	5	Insignificance	5	Green Disease	5	Love Boat Captain	5	Do the Evolution	4	You Are	4	Yellow Ledbetter	4	Bu$hleaguer	3
2003	Even Flow	71	Save You	70	Corduroy	62	Better Man	61	Do the Evolution	61	Elderly Woman Behind the Counter in a Small Town	55	Love Boat Captain	51	Daughter	49	Alive	48
2004	Do the Evolution	8	The New World	8	Save You	8	Elderly Woman Behind the Counter in a Small Town	7	American In Me	7	Masters of War	6	Even Flow	6	Last Exit	5	Daughter	5
2005	Even Flow	35	Alive	34	Given to Fly	32	Better Man	32	Corduroy	31	Save You	31	Do the Evolution	28	Elderly Woman Behind the Counter in a Small Town	28	Black	27
2006	World Wide Suicide	77	Even Flow	74	Alive	72	Severed Hand	69	Do the Evolution	68	Corduroy	62	Life Wasted	60	Better Man	58	Given to Fly	54
2007	Given to Fly	13	Why Go	12	Severed Hand	11	World Wide Suicide	11	Elderly Woman Behind the Counter in a Small Town	10	Even Flow	10	Alive	10	Do the Evolution	10	Corduroy	10
2008	Do the Evolution	14	Even Flow	14	Why Go	14	Alive	13	Given to Fly	12	Corduroy	11	Elderly Woman Behind the Counter in a Small Town	11	Better Man	11	Severed Hand	10
2009	The Fixer	33	Got Some	32	Even Flow	28	Do the Evolution	26	Alive	26	Elderly Woman Behind the Counter in a Small Town	25	Why Go	23	Given to Fly	22	Yellow Ledbetter	21
2010	Just Breathe	27	Unthought Known	26	The Fixer	25	Even Flow	23	Alive	23	Got Some	22	Do the Evolution	21	Given to Fly	20	Elderly Woman Behind the Counter in a Small Town	19
2011	Alive	21	The Fixer	20	Even Flow	20	Just Breathe	20	Unthought Known	20	Yellow Ledbetter	18	Given to Fly	18	Corduroy	17	Elderly Woman Behind the Counter in a Small Town	17
2012	Alive	17	Corduroy	17	Even Flow	16	Given to Fly	15	Better Man	15	Elderly Woman Behind the Counter in a Small Town	15	Do the Evolution	15	Unthought Known	14	The Fixer	14
2013	Alive	29	Mind Your Manners	27	Lightning Bolt	27	Porch	27	Do the Evolution	27	Sirens	26	Given to Fly	26	Even Flow	24	Corduroy	23
